genes	third_instar	fifth_instar	early_pupa	late_pupa	adult
lcl|KZ248545.1_cds_OWR55082.1_256	3.10088	4.49662	0.0382078	0.075084	6.72839
lcl|KZ248545.1_cds_OWR55083.1_257	11.5884	9.81418	7.78204	9.47054	5.08942
lcl|KZ248545.1_cds_OWR55084.1_258	4.48224	1.89626	4.18921	2.05892	1.35034
lcl|KZ248545.1_cds_OWR55085.1_259	584.191	576.89	84.7418	357.483	791.748
lcl|KZ248545.1_cds_OWR55086.1_260	18.8536	9.46776	31.4296	15.5969	10.2038
lcl|KZ248545.1_cds_OWR55087.1_261	2.89499	2.24335	3.65447	0.714489	2.05908
lcl|KZ248545.1_cds_OWR55088.1_262	0.971216	0.0	0.0	0.0	0.541679
lcl|KZ248545.1_cds_OWR55089.1_263	0.0648466	0.0873253	0.0	0.0475096	0.0582069
lcl|KZ248545.1_cds_OWR55090.1_264	0.0	0.0	0.0	0.0	0.0
lcl|KZ248545.1_cds_OWR55091.1_265	16.6581	7.33988	11.2181	5.90209	4.96537
lcl|KZ248545.1_cds_OWR55092.1_266	82.5972	25.8324	68.2856	48.9034	16.5599
lcl|KZ248545.1_cds_OWR55093.1_267	8.03518	5.81055	2.80471	3.26258	3.24365
lcl|KZ248545.1_cds_OWR55094.1_268	1.06933	0.398311	1.41408	0.891512	0.396788
lcl|KZ248545.1_cds_OWR55095.1_269	17.8055	5.64668	7.20566	6.2363	2.41884
lcl|KZ248545.1_cds_OWR55096.1_270	567.244	884.1	0.0224767	0.219571	0.345015
lcl|KZ248545.1_cds_OWR55097.1_271	3.74924	4.90253	3.02595	9.03138	9.55731
lcl|KZ248545.1_cds_OWR55098.1_272	7.57808	7.67279	5.88588	7.28478	9.59369
lcl|KZ248545.1_cds_OWR55099.1_273	0.217731	0.0544064	0.393773	0.725353	1.3888
lcl|KZ248545.1_cds_OWR55100.1_274	23.4611	7.95237	7.3489	9.20842	11.4606
lcl|KZ248545.1_cds_OWR55101.1_275	33.3959	4.2074	10.6802	19.787	17.5695
lcl|KZ248545.1_cds_OWR55102.1_276	2.93334	2.55089	3.39772	8.89474	3.84294
lcl|KZ248545.1_cds_OWR55103.1_277	1527.6	1316.92	1180.67	962.626	725.031
lcl|KZ248545.1_cds_OWR55104.1_278	0.0119244	0.114771	0.427335	2.77122	2.93872
